hotel_name,source_url,official_url,hotel_class,minprice,maxprice,address,lat,lon,number_of_room,number_of_floor,year_property_opened,most_recent_renovation
Phat Homestay,https://www.tripadvisor.com/Hotel_Review-g293925-d12454391-Reviews-Phat_Homestay-Ho_Chi_Minh_City.html,,,,,"247/33 Lac Long Quan, District 11, Ho Chi Minh City Vietnam",10.759134,106.64141,,,,
CityHouse - CityLight Apartment & Hotel,https://www.tripadvisor.com/Hotel_Review-g293925-d21507281-Reviews-CityHouse_CityLight_Apartment_Hotel-Ho_Chi_Minh_City.html,,,,,"1/6 Hoàng Việt, Phường 4, Ho Chi Minh City Vietnam",10.797366,106.659775,,,,
Khach san 7 Ngoi Sao,https://www.tripadvisor.com/Hotel_Review-g293925-d23358990-Reviews-Khach_san_7_Ngoi_Sao-Ho_Chi_Minh_City.html,,,,,"1490 Truong Sa, Phuong 3, Quan Tan Binh, Ho Chi Minh City Vietnam",10.793464,106.65969,,,,
MHome Hoang Ha,https://www.tripadvisor.com/Hotel_Review-g293925-d17649435-Reviews-MHome_Hoang_Ha-Ho_Chi_Minh_City.html,,,,,"210 Hong Ha, Ho Chi Minh City Vietnam",10.81344,106.66585,,,,
RedDoorz near Him Lam,https://www.tripadvisor.com/Hotel_Review-g293925-d21249976-Reviews-RedDoorz_near_Him_Lam-Ho_Chi_Minh_City.html,,2.0 of 5 stars,,,"153-155 Nguyen Thi Thap Street, Him Lam Residential Area Tan Hung Ward, District 7, Ho Chi Minh City 700000 Vietnam",10.74094,106.6954,,,,
Phong Cao Cap - 543/65 Nguyen Dinh Chieu,https://www.tripadvisor.com/Hotel_Review-g293925-d19721706-Reviews-Phong_Cao_Cap_543_65_Nguyen_Dinh_Chieu-Ho_Chi_Minh_City.html,,,,,"543/65 Nguyen Dinh Chieu, Ho Chi Minh City Vietnam",10.767595,106.68174,,,,
Duco Homestay,https://www.tripadvisor.com/Hotel_Review-g293925-d13431504-Reviews-Duco_Homestay-Ho_Chi_Minh_City.html,,,,,"Lo F Chung Cu Phan Xich Long, Phuong 7, Quan Phu Nhuan, Ho Chi Minh City Vietnam",10.801743,106.68328,,,,
Helio Saigon Apartments,https://www.tripadvisor.com/Hotel_Review-g293925-d13328629-Reviews-Helio_Saigon_Apartments-Ho_Chi_Minh_City.html,,3.0 of 5 stars,,,"328 Vo Van Kiet Central Garden Apartment Building, Co Giang Ward, District 1, Ho Chi Minh City 70000 Vietnam",10.761694,106.69557,,,,
Dazi Signature,https://www.tripadvisor.com/Hotel_Review-g293925-d26533457-Reviews-Dazi_Signature-Ho_Chi_Minh_City.html,,,,,"23 Trương Định, Ho Chi Minh City 10000 Vietnam",10.771609,106.69623,,,,
Hera Hotel,https://www.tripadvisor.com/Hotel_Review-g293925-d20941263-Reviews-Hera_Hotel-Ho_Chi_Minh_City.html,,,,,"So 06, Song Da, Phuong 2, Ho Chi Minh City Vietnam",10.806197,106.66496,,,,
